Date;Time;Open;High;Low;Close;Volume
;;BTC-USD;BTC-USD;BTC-USD;BTC-USD;BTC-USD
2018-10-13;00:00:00;6278.08007812;6308.50976562;6259.81005859;6285.99023438;-1230937296
2018-10-14;00:00:00;6288.49023438;6363.20996094;6280.14990234;6290.93017578;-1209647296
2018-10-15;00:00:00;6292.64013672;6965.06005859;6258.68017578;6596.54003906;-1219164592
2018-10-16;00:00:00;6601.41015625;6673.58984375;6571.37011719;6596.10986328;-220167296
2018-10-17;00:00:00;6590.52001953;6601.20996094;6517.45019531;6544.43017578;-206547296
2018-10-18;00:00:00;6542.33007812;6567.54003906;6450.04003906;6476.70996094;-370887296
2018-10-19;00:00:00;6478.06982422;6493.68017578;6445.31005859;6465.41015625;-716097296
2018-10-20;00:00:00;6460.91992188;6497.72021484;6449.00000000;6489.18994141;-915837296
2018-10-21;00:00:00;6490.08984375;6556.37988281;6476.00000000;6482.35009766;-1041357296
2018-10-22;00:00:00;6486.04980469;6543.79980469;6462.97998047;6487.16015625;-622107296
2018-10-23;00:00:00;6472.35986328;6506.00976562;6451.27001953;6475.74023438;-578817296
2018-10-24;00:00:00;6478.89013672;6521.99023438;6468.85986328;6495.83984375;-870297296
2018-10-25;00:00:00;6484.64990234;6504.64990234;6447.02978516;6476.29003906;-1064417296
2018-10-26;00:00:00;6468.43994141;6498.29003906;6449.60986328;6474.75000000;-988917296
2018-10-27;00:00:00;6480.83984375;6507.41015625;6453.52978516;6480.37988281;-901717296
2018-10-28;00:00:00;6482.66015625;6502.27978516;6447.91015625;6486.39013672;-849777296
2018-10-29;00:00:00;6492.35009766;6503.60009766;6306.99023438;6332.62988281;-95057296
2018-10-30;00:00:00;6337.04003906;6364.99023438;6310.14013672;6334.27001953;-513867296
2018-10-31;00:00:00;6336.99023438;6349.16015625;6316.87988281;6317.60986328;-103727296
2018-11-01;00:00:00;6318.14013672;6547.14013672;6311.83007812;6377.77978516;-505567296
2018-11-02;00:00:00;6378.91992188;6396.85986328;6327.37988281;6388.43994141;-60097296
2018-11-03;00:00:00;6387.24023438;6400.06982422;6342.37011719;6361.25976562;-636327296
2018-11-04;00:00:00;6365.47021484;6388.62988281;6294.56982422;6376.12988281;95052704
2018-11-05;00:00:00;6363.62011719;6480.58984375;6363.62011719;6419.66015625;-120167296
2018-11-06;00:00:00;6433.37988281;6463.54980469;6408.16015625;6461.00976562;405072704
2018-11-07;00:00:00;6468.50000000;6552.16015625;6468.31005859;6530.14013672;646292704
2018-11-08;00:00:00;6522.27001953;6536.91992188;6438.52978516;6453.72021484;370292704
2018-11-09;00:00:00;6442.60009766;6456.45996094;6373.37011719;6385.62011719;51852704
2018-11-10;00:00:00;6386.12988281;6437.27978516;6385.31005859;6409.22021484;-589647296
2018-11-11;00:00:00;6413.62988281;6423.25000000;6350.16992188;6411.27001953;-355907296
2018-11-12;00:00:00;6411.75976562;6434.20996094;6360.47021484;6371.27001953;802704
2018-11-13;00:00:00;6373.18994141;6395.27001953;6342.66992188;6359.49023438;208832704
2018-11-14;00:00:00;6351.24023438;6371.54980469;5544.08984375;5738.35009766;-1190994592
2018-11-15;00:00:00;5736.14990234;5774.81982422;5358.37988281;5648.02978516;-1557794592
2018-11-16;00:00:00;5645.31982422;5657.02001953;5498.93994141;5575.54980469;984352704
2018-11-17;00:00:00;5578.58007812;5578.58007812;5519.56005859;5554.33007812;8182704
2018-11-18;00:00:00;5559.74023438;5653.60986328;5559.74023438;5623.54003906;-135287296
2018-11-19;00:00:00;5620.77978516;5620.77978516;4842.91015625;4871.49023438;-1550374592
2018-11-20;00:00:00;4863.93017578;4951.60986328;4272.10986328;4451.87011719;-161644592
2018-11-21;00:00:00;4465.54003906;4675.72998047;4343.97998047;4602.16992188;1825152704
2018-11-22;00:00:00;4611.56982422;4629.64013672;4365.64013672;4365.93994141;274402704
2018-11-23;00:00:00;4360.70019531;4396.41992188;4195.68017578;4347.10986328;576522704
2018-11-24;00:00:00;4347.68994141;4413.08984375;3795.15991211;3880.76000977;384532704
2018-11-25;00:00:00;3880.78002930;4120.87011719;3585.06005859;4009.96997070;-1764294592
2018-11-26;00:00:00;4015.07006836;4107.14013672;3643.91992188;3779.12988281;-2113034592
2018-11-27;00:00:00;3765.94995117;3862.95996094;3661.01000977;3820.71997070;1703752704
2018-11-28;00:00:00;3822.46997070;4385.89990234;3822.46997070;4257.41992188;-1309654592
2018-11-29;00:00:00;4269.00439453;4413.02050781;4145.76513672;4278.84667969;-2086586825
2018-11-30;00:00:00;4289.08886719;4322.97656250;3942.82202148;4017.26855469;1753049421
2018-12-01;00:00:00;4024.46435547;4309.37744141;3969.71069336;4214.67187500;1080346797
2018-12-02;00:00:00;4200.73339844;4301.51953125;4110.97851562;4139.87792969;967730599
2018-12-03;00:00:00;4147.32373047;4155.97949219;3840.44628906;3894.13085938;794603698
2018-12-04;00:00:00;3886.29492188;4075.62768555;3832.75000000;3956.89379883;733101943
2018-12-05;00:00:00;3958.89477539;3969.53588867;3753.99487305;3753.99487305;1007514278
2018-12-06;00:00:00;3754.07446289;3874.96606445;3521.10180664;3521.10180664;1583365813
2018-12-07;00:00:00;3512.59033203;3512.59033203;3280.22875977;3419.93725586;-1754319144
2018-12-08;00:00:00;3421.91040039;3506.04345703;3350.65063477;3476.11474609;1010057201
2018-12-09;00:00:00;3473.22753906;3685.30566406;3469.09423828;3614.23437500;652405551
2018-12-10;00:00:00;3612.04638672;3647.33251953;3470.14453125;3502.65600586;726001444
2018-12-11;00:00:00;3497.55468750;3513.18505859;3392.25000000;3424.58813477;401797892
2018-12-12;00:00:00;3421.45825195;3534.22851562;3413.48144531;3486.95019531;-155602467
2018-12-13;00:00:00;3487.87939453;3489.73950195;3298.13208008;3313.67724609;48405160
2018-12-14;00:00:00;3311.75195312;3329.55590820;3206.54223633;3242.48486328;77796367
2018-12-15;00:00:00;3243.99755859;3275.37792969;3191.30346680;3236.76171875;-743203735
2018-12-16;00:00:00;3236.27465820;3305.75317383;3233.81982422;3252.83911133;-550718302
2018-12-17;00:00:00;3253.12304688;3597.91796875;3253.12304688;3545.86474609;1114280622
2018-12-18;00:00:00;3544.76147461;3701.34936523;3487.16918945;3696.05908203;1616358177
2018-12-19;00:00:00;3706.82495117;3949.32299805;3687.22998047;3745.95068359;-1779245473
2018-12-20;00:00:00;3742.19506836;4191.22851562;3728.97460938;4134.44140625;337194687
2018-12-21;00:00:00;4133.70361328;4198.42968750;3850.94628906;3896.54370117;-1383918886
2018-12-22;00:00:00;3898.08374023;4014.18261719;3855.73901367;4014.18261719;1310855937
2018-12-23;00:00:00;4020.99462891;4085.72363281;3976.40576172;3998.98022461;1856308194
2018-12-24;00:00:00;4000.33178711;4271.79248047;4000.33178711;4078.59912109;-1348966091
2018-12-25;00:00:00;4081.03051758;4089.56152344;3760.02050781;3815.49072266;1863239997
2018-12-26;00:00:00;3819.66674805;3893.35961914;3769.86376953;3857.29760742;1031580622
2018-12-27;00:00:00;3854.68847656;3874.41699219;3645.44848633;3654.83349609;835255070
2018-12-28;00:00:00;3653.13183594;3956.13598633;3642.63208008;3923.91870117;1336587052
2018-12-29;00:00:00;3932.49169922;3963.75878906;3820.40869141;3820.40869141;696688621
2018-12-30;00:00:00;3822.38476562;3901.90893555;3797.21923828;3865.95263672;475611279
2018-12-31;00:00:00;3866.83911133;3868.74291992;3725.86743164;3742.70043945;366873510
