Gmt time,Open,High,Low,Close,Volume
10.10.2018 00:00:00.000,6575,6576,6410,6496,1.2971
11.10.2018 00:00:00.000,6496,6517,6061,6159,2.8103
12.10.2018 00:00:00.000,6159,6248,6092,6190,1.2245
13.10.2018 00:00:00.000,6190,6190,6190,6190,0
14.10.2018 00:00:00.000,6210,6303,6148,6180,0.1695
15.10.2018 00:00:00.000,6180,7256,6151,6377,3.2649
16.10.2018 00:00:00.000,6377,6432,6340,6399,0.5698
17.10.2018 00:00:00.000,6399,6403,6351,6380,0.2457
18.10.2018 00:00:00.000,6380,6429,6297,6336,0.4196
19.10.2018 00:00:00.000,6336,6348,6299,6322,0.3229
20.10.2018 00:00:00.000,6322,6322,6322,6322,0
21.10.2018 00:00:00.000,6375,6378,6346,6353,0.0299
22.10.2018 00:00:00.000,6353,6365,6315,6348,0.2523
23.10.2018 00:00:00.000,6348,6356,6298,6335,0.3026
24.10.2018 00:00:00.000,6335,6400,6334,6355,0.3819
25.10.2018 00:00:00.000,6355,6361,6301,6334,0.643
26.10.2018 00:00:00.000,6334,6390,6321,6345,0.2672
27.10.2018 00:00:00.000,6345,6345,6345,6345,0
28.10.2018 00:00:00.000,6336,6359,6333,6345,0.0351
29.10.2018 00:00:00.000,6344,6356,6149,6206,0.5073
30.10.2018 00:00:00.000,6205,6230,6184,6211,0.3488
31.10.2018 00:00:00.000,6208,6294,6143,6245,0.3646
01.11.2018 00:00:00.000,6246,6300,6234,6283,0.3007
02.11.2018 00:00:00.000,6282,6319,6272,6294,0.3627
03.11.2018 00:00:00.000,6294,6294,6294,6294,0
04.11.2018 00:00:00.000,6354,6364,6348,6362,0.0393
05.11.2018 00:00:00.000,6362,6380,6313,6345,0.3797
06.11.2018 00:00:00.000,6344,6394,6327,6388,0.3848
07.11.2018 00:00:00.000,6388,6478,6386,6442,0.4198
08.11.2018 00:00:00.000,6442,6453,6332,6348,0.451
09.11.2018 00:00:00.000,6347,6356,6251,6269,0.3747
10.11.2018 00:00:00.000,6269,6269,6269,6269,0
11.11.2018 00:00:00.000,6258,6302,6250,6298,0.0856
12.11.2018 00:00:00.000,6298,6324,6242,6266,0.3719
13.11.2018 00:00:00.000,6267,6268,6192,6198,0.5451
14.11.2018 00:00:00.000,6197,6233,5248,5543,0.7326
15.11.2018 00:00:00.000,5536,5581,5145,5519,0.9539
16.11.2018 00:00:00.000,5520,5549,5381,5386,0.4879
17.11.2018 00:00:00.000,5386,5386,5386,5386,0
18.11.2018 00:00:00.000,5485,5498,5469,5498,0.075
19.11.2018 00:00:00.000,5496,5499,4633,4674,2.6338
